,Hierarchical ID,Page,Tab,Element Type,Element Name,Status,Source / Data Dependency,Transformation / Calculation,Owner/SME,Refresh Cadence,Issues,Notes,,,,,,,,,,,,,,
100,RET-IA-TABLE-100,retention,investment analysis,table,Retention Investment Analysis,DRAFT,"Manual Input, ML_Model.churn_scores",Combines manual inputs and model scores per segment,Growth,AD_HOC,,Sub-segment Customers Investment Risk Level Effort Level Expected RO,,,,,,,,,,,,,,
101,RET-IP-CARD-101,retention,intervention plan,card,Retention Intervention Plan,DRAFT,Internal_DB.playbook,Filterable list of pre-defined campaign templates,Growth,AD_HOC,,Detailed action plan for retention campaigns,,,,,,,,,,,,,,
102,RET-IP-CARD-102,retention,intervention plan,card,Retention Intervention Plan Success Metrics,DRAFT,Manual Input,Defines KPIs for a specific campaign,Growth,AD_HOC,,"Primary, Secondary Goal, ROI target, timeframe",,,,,,,,,,,,,,
103,CRM-OV-CARD-103,crm,Overview,card,Customer Acquisition Cost,ACTIVE,"Marketing_Spend_DB, CRM.leads",Total Marketing & Sales Spend / New Customers Acquired,Marketing,WEEKLY,,Includes all marketing and sales expenses,,,,,,,,,,,,,,
104,CRM-OV-CARD-104,crm,Overview,card,Return on Ad Spend,ACTIVE,"Marketing_Spend_DB, Stripe.Invoices",Revenue from Ad Campaign / Ad Spend,Marketing,DAILY,,Revenue generated per dollar spent on advertising,,,,,,,,,,,,,,
105,CRM-OV-CARD-105,crm,Overview,card,Lead Quality Score,ACTIVE,ML_Model.lead_scores,AVG(lead_score) for period,Marketing,DAILY,,AI-based scoring system for lead potential,,,,,,,,,,,,,,
106,CRM-OV-CARD-106,crm,Overview,card,Conversion Rate,ACTIVE,CRM.leads,(New Customers / Qualified Leads) * 100,Marketing,DAILY,,Percentage of visitors converting to customers,,,,,,,,,,,,,,
107,CRM-OV-CHART-107,crm,Overview,chart/graph,Marketing Mix Performance,ACTIVE,Marketing_Spend_DB,Line chart: ROAS and Total Spend by channel over time,Marketing,WEEKLY,,Channel spend efficiency and ROI trends,,,,,,,,,,,,,,
108,CRM-OV-CHART-108,crm,Overview,chart/graph,Channel Efficiency Analysis,ACTIVE,Marketing_Spend_DB,Scatter plot: CAC vs ROAS (or LTV) by channel,Marketing,WEEKLY,duplicate chart -  remove this,Cost vs return scatter plot,,,,,,,,,,,,,,
109,CRM-AT-CHART-109,crm,Attribution,chart/graph,Shapley Value Attribution Analysis,ACTIVE,Google Analytics.Path_data,Game theory-based attribution calculation,Data Science,WEEKLY,,Game theory-based fair attribution across channels,,,,,,,,,,,,,,
110,CRM-AT-CHART-110,crm,Attribution,chart/graph,Channel Contribution Distribution,ACTIVE,Google Analytics.Path_data,Pie chart of revenue share by channel (Shapley Value),Marketing,WEEKLY,,Channel revenue distribution across attribution models,,,,,,,,,,,,,,
111,CRM-AT-TABLE-111,crm,Attribution,table,Channel Performance Matrix,ACTIVE,"Google Analytics.Path_data, Marketing_Spend_DB","Table of channels with Spend, Conversions, ROAS, CAC",Marketing,WEEKLY,,"Performance across revenue, conversions, and ROAS",,,,,,,,,,,,,,
112,CRM-AT-CHART-112,crm,Attribution,chart/graph,Attribution Model Comparison,ACTIVE,Google Analytics.Path_data,Bar chart: revenue per channel across different models,Data Science,WEEKLY,,"Revenue attribution across First-Click, Last-Click, Shapley Value",,,,,,,,,,,,,,
113,CRM-AT-CHART-113,crm,Attribution,chart/graph,Attribution Accuracy Comparison,ACTIVE,Internal Validation,Bar chart comparing model accuracy scores,Data Science,AD_HOC,,"Accuracy of Shapley, Markov Chain, Linear, Last-Click models",,,,,,,,,,,,,,
114,CRM-AI-CHART-115,crm,AI Scoring,chart/graph,Feature Importance,ACTIVE,ML_Model.lead_scores,Bar chart of top features by SHAP value,Data Science,WEEKLY,,Model feature importance and predictive accuracy,,,,,,,,,,,,,,
115,CRM-AI-CARD-116,crm,AI Scoring,card,Model Performance & Recommendations,ACTIVE,ML_Model.lead_scores,"Display of accuracy, precision, recall",Data Science,WEEKLY,,"Accuracy, Precision, Recommendations",,,,,,,,,,,,,,
116,CRM-AI-CARD-118,crm,AI Scoring,card,Data Collection Recommendation,ACTIVE,ML_Model.lead_scores,Suggests new data sources based on feature importance,Data Science,AD_HOC,,Recommendation to improve scoring,,,,,,,,,,,,,,
117,CRM-CJ-CHART-119,crm,Customer Journey,chart/graph,Customer Journey Analysis,ACTIVE,Google Analytics.Path_data,Sankey diagram of flow between stages,Marketing,WEEKLY,,Probabilistic funnel progression modeling,,,,,,,,,,,,,,
118,CRM-CJ-CARD-120,crm,Customer Journey,card,Journey Metrics,ACTIVE,Google Analytics.Path_data,"Overall Conversion Rate, Journey Length",Marketing,WEEKLY,,"Final Conversion Rate, Journey Efficiency, Expected LTV",,,,,,,,,,,,,,
119,CRM-CJ-CARD-121,crm,Customer Journey,card,Warning,ACTIVE,Google Analytics.Path_data,Flags stages with significant drop-off,Marketing,DAILY,,opportunity type & recommended action,,,,,,,,,,,,,,
120,CRM-CJ-CARD-122,crm,Customer Journey,card,Conversion Opportunity,ACTIVE,Google Analytics.Path_data,Flags high-intent segments stuck in journey,Marketing,DAILY,,warning type & recommended action,,,,,,,,,,,,,,
121,CRM-REC-CARD-123,crm,Recommendations,card,AI-Powered Recommendations,ACTIVE,ML_Model.recommendations,Generative output based on model analysis,Marketing,DAILY,,Data-driven marketing optimization insights,,,,,,,,,,,,,,
122,CRM-INT-TABLE-124,crm,Integrations,table,Platform Integrations,ACTIVE,Internal_DB.integrations,Status check of API connections,DevOps,DAILY,,"Connected CRM and Ad platforms, status & record count",,,,,,,,,,,,,,
123,CRM-DF-CARD-125,crm,Definitions,card,Customer Acquisition Cost (CAC),ACTIVE,N/A,Definition only,Marketing,N/A,,Total marketing + sales cost per acquired customer,,,,,,,,,,,,,,
124,CRM-DF-CARD-126,crm,Definitions,card,Customer Lifetime Value (LTV),ACTIVE,N/A,Definition only,Data Science,N/A,,Predicted net profit from a customer’s entire relationship,,,,,,,,,,,,,,
125,CRM-DF-CARD-127,crm,Definitions,card,LTV:CAC Ratio,ACTIVE,N/A,Definition only,Finance,N/A,,Benchmark of value-to-cost ratio,,,,,,,,,,,,,,
126,CRM-DF-CARD-128,crm,Definitions,card,Return on Ad Spend (ROAS),ACTIVE,N/A,Definition only,Marketing,N/A,,Revenue / Ad spend efficiency,,,,,,,,,,,,,,
127,CRM-DF-CARD-129,crm,Definitions,card,First-Click Attribution,ACTIVE,N/A,Definition only,Marketing,N/A,,100% credit to first touchpoint,,,,,,,,,,,,,,
128,CRM-DF-CARD-130,crm,Definitions,card,Last-Click Attribution,ACTIVE,N/A,Definition only,Marketing,N/A,,100% credit to final touchpoint before conversion,,,,,,,,,,,,,,
129,CRM-DF-CARD-131,crm,Definitions,card,Shapley Value Attribution,ACTIVE,N/A,Definition only,Data Science,N/A,,Fair distribution using marginal contribution across coalitions,,,,,,,,,,,,,,
130,CRM-DF-CARD-132,crm,Definitions,card,Markov Chain Attribution,ACTIVE,N/A,Definition only,Data Science,N/A,deploy intervention strategy button does not work,Probabilistic modeling of path likelihood and removal effect,,,,,,,,,,,,,,
131,CRM-DF-CARD-133,crm,Definitions,card,Predictive Power,ACTIVE,N/A,Definition only,Data Science,N/A,,Feature’s ability to predict conversion likelihood,,,,,,,,,,,,,,
132,CRM-DF-CARD-134,crm,Definitions,card,Feature Importance,ACTIVE,N/A,Definition only,Data Science,N/A,no data currently displayed,Contribution of feature to model accuracy,,,,,,,,,,,,,,
133,CRM-DF-CARD-135,crm,Definitions,card,Behavioral Features,ACTIVE,N/A,Definition only,Data Science,N/A,this needs a now what so what,User actions and engagement patterns,,,,,,,,,,,,,,
134,CRM-DF-CARD-136,crm,Definitions,card,Firmographic Features,ACTIVE,N/A,Definition only,Data Science,N/A,,Company-level attributes,,,,,,,,,,,,,,
135,CRM-DF-CARD-137,crm,Definitions,card,Demographic Features,ACTIVE,N/A,Definition only,Data Science,N/A,,Individual attributes,,,,,,,,,,,,,,
136,CRM-DF-CARD-138,crm,Definitions,card,Conversion Rate,ACTIVE,N/A,Definition only,Marketing,N/A,,Percentage of visitors completing desired action,,,,,,,,,,,,,,
137,CRM-DF-CARD-139,crm,Definitions,card,Campaign Lift,ACTIVE,N/A,Definition only,Marketing,N/A,,Performance improvement vs baseline (%),,,,,,,,,,,,,,
138,CRM-DF-CARD-140,crm,Definitions,card,Lead Efficiency,ACTIVE,N/A,Definition only,Marketing,N/A,,Qualified leads per $1000 spend,,,,,,,,,,,,,,
139,CRM-DF-CARD-141,crm,Definitions,card,Marketing Mix Modeling (MMM),ACTIVE,N/A,Definition only,Marketing,N/A,,Statistical analysis of channel impact on sales outcomes,,,,,,,,,,,,,,
140,CRM-DF-CARD-142,crm,Definitions,card,Awareness,ACTIVE,N/A,Definition only,Marketing,N/A,,Brand discovery,,,,,,,,,,,,,,
141,CRM-DF-CARD-143,crm,Definitions,card,Interest,ACTIVE,N/A,Definition only,Marketing,N/A,,Engagement with content or site,,,,,,,,,,,,,,
142,CRM-DF-CARD-144,crm,Definitions,card,Consideration,ACTIVE,N/A,Definition only,Marketing,N/A,,Evaluation of solution vs alternatives,,,,,,,,,,,,,,
143,CRM-DF-CARD-145,crm,Definitions,card,Intent,ACTIVE,N/A,Definition only,Marketing,N/A,,"Strong buying signals (demo requests, pricing)",,,,,,,,,,,,,,
144,CRM-DF-CARD-146,crm,Definitions,card,Purchase,ACTIVE,N/A,Definition only,Marketing,N/A,,Transaction completed,,,,,,,,,,,,,,
145,CRM-DF-CARD-147,crm,Definitions,card,Retention,ACTIVE,N/A,Definition only,Marketing,N/A,,Post-purchase engagement and relationship building,,,,,,,,,,,,,,
146,CRM-DF-CARD-148,crm,Definitions,card,Shapley Value Calculation,ACTIVE,N/A,Definition only,Data Science,N/A,,Formula for average marginal contribution across coalitions,,,,,,,,,,,,,,
147,CRM-DF-CARD-149,crm,Definitions,card,Lead Score Formula,ACTIVE,N/A,Definition only,Data Science,N/A,,Weighted sum of feature values × importance × data quality,,,,,,,,,,,,,,
148,CRM-DF-CARD-150,crm,Definitions,card,Markov Transition Probability,ACTIVE,N/A,Definition only,Data Science,N/A,,Probability of moving from one journey stage to another,,,,,,,,,,,,,,
149,PUD-H-CARD-151,product_usage,Health,card,Product-Market Fit,ACTIVE,Segment.product_events,(Champions / Total Users) * 100,Product,WEEKLY,,Percentage of users in Champions segment vs previous period,,,,,,,,,,,,,,
150,PUD-H-CARD-152,product_usage,Health,card,Feature Adoption,ACTIVE,Segment.product_events,(Users who used feature / Active Users) * 100,Product,WEEKLY,,Percentage of users adopting core features vs previous period,,,,,,,,,,,,,,
151,PUD-H-CARD-153,product_usage,Health,card,Time to Value,ACTIVE,Segment.product_events,AVG(days between signup and first_key_action),Product,WEEKLY,,Average days until first success vs previous period,,,,,,,,,,,,,,
152,PUD-H-CARD-154,product_usage,Health,card,User Retention,ACTIVE,Internal_DB.users,(Users active in period / Users who signed up N days ago) * 100,Product,WEEKLY,,30-day user retention rate vs previous period,,,,,,,,,,,,,,
153,PUD-H-CARD-155,product_usage,Health,card,Churn Risk,ACTIVE,ML_Model.churn_scores,(Users with risk score > 0.7 / Active Users) * 100,Product,DAILY,,Percentage of users at risk vs previous period,,,,,,,,,,,,,,
154,PUD-H-CARD-156,product_usage,Health,card,Activation Rate,ACTIVE,Segment.product_events,(Users who completed onboarding / Signed Up Users) * 100,Product,DAILY,,Successful onboarding rate vs previous period,,,,,,,,,,,,,,
155,PUD-H-CHART-157,product_usage,Health,chart/graph,Product Health Trends,ACTIVE,Various,Timeseries of metrics from cards 151-156,Product,WEEKLY,,Longitudinal view of product KPIs,,,,,,,,,,,,,,
156,PUD-FE-CHART-158,product_usage,Features,chart/graph,Feature Performance Matrix,DUPLICATE,"Segment.product_events, Survey.data",Scatter plot: Adoption % vs Satisfaction Score,Product,MONTHLY,,"Evaluate features by adoption, satisfaction, time to use, and business impact",,,,,,,,,,,,,,
157,PUD-FE-TABLE-159,product_usage,Features,table,Feature Performance Matrix,ACTIVE,"Segment.product_events, Survey.data","Table with columns for adoption, satisfaction, etc.",Product,MONTHLY,,Feature Adoption Satisfaction Time to First Use Business Impact Trend Action,,,,,,,,,,,,,,
158,PUD-SEG-TABLE-160,product_usage,Segments,table,User Segment Analysis,ACTIVE,"Segment.product_events, Stripe.Invoices",Table of user segments with aggregated metrics,Product,WEEKLY,,Segment Users % of Base ARPU Revenue Share Retention Engagement Product Focus,,,,,,,,,,,,,,
159,PUD-E-CHART-162,product_usage,Engagement,chart/graph,Engagement Depth Matrix,DUPLICATE,Segment.product_events,Scatter plot: Sessions per Week vs Features Used,Product,WEEKLY,,Frequency vs depth of feature usage,,,,,,,,,,,,,,
160,PUD-INS-CARD-163,product_usage,Insights,card,Product Strategy Insights,ACTIVE,Various,Text summary generated from underlying data,Product,WEEKLY,,Data-driven recommendations for product growth and retention,,,,,,,,,,,,,,
161,PUD-INS-TABLE-164,product_usage,Insights,table,User Segment Analysis,DUPLICATE,PUD-SEG-TABLE-160,Direct link or copy of PUD-SEG-TABLE-160,Product,WEEKLY,,Understand user groups to inform product strategy and feature prioritization,,,,,,,,,,,,,,
162,PUD-INS-CHART-165,product_usage,Insights,chart/graph,Engagement Depth Matrix,DUPLICATE,PUD-E-CHART-162,Direct link or copy of PUD-E-CHART-162,Product,WEEKLY,,Frequency vs. depth of usage to identify engagement patterns,,,,,,,,,,,,,,
163,CLV-OV-CARD-166,clv,Overview,card,Average CLV,ACTIVE,Stripe.Invoices,SUM(historical_revenue) / COUNT(customers),Data Science,MONTHLY,,Mean realized customer lifetime value vs previous period,,,,,,,,,,,,,,
164,CLV-OV-CARD-167,clv,Overview,card,Predicted CLV,ACTIVE,CLV Model,"Output from probabilistic CLV model (e.g., BG/NBD)",Data Science,MONTHLY,,Model-based estimated CLV,,,,,,,,,,,,,,
165,CLV-OV-CARD-168,clv,Overview,card,LTV:CAC Ratio,ACTIVE,"CLV Model, Marketing_Spend_DB",Predicted CLV / CAC,Finance,MONTHLY,,Benchmark of efficiency between lifetime value and acquisition cost,,,,,,,,,,,,,,
166,CLV-OV-CARD-169,clv,Overview,card,Heterogeneity Index,ACTIVE,CLV Model,STDEV(CLV) / AVG(CLV),Data Science,MONTHLY,,Variance in customer lifetime values,,,,,,,,,,,,,,
167,CLV-OV-CARD-170,clv,Overview,card,Payback Period,ACTIVE,"Stripe.Invoices, Marketing_Spend_DB",CAC / AVG(Monthly Gross Profit),Finance,MONTHLY,not sure this belongs here,Months to recover CAC,,,,,,,,,,,,,,
168,CLV-OV-CHART-171,clv,Overview,chart/graph,Statistics Performance Summary,ACTIVE,Various,Summary statistics for selected metric,Data Science,MONTHLY,,"Mean, Median, St Dev, Range & Trend",,,,,,,,,,,,,,
169,CLV-OV-CHART-172,clv,Overview,chart/graph,CLV Drivers Analysis,ACTIVE,CLV Model,Bar chart of correlation between features and CLV,Data Science,MONTHLY,,Factors influencing CLV By Plan and By Usage Level,,,,,,,,,,,,,,
170,CLV-OV-CHART-173,clv,Overview,chart/graph,CLV Decomposition,ACTIVE,CLV Model,Breakdown of CLV formula into its components,Data Science,MONTHLY,,"Breakdown into purchase frequency, monetary value, retention, usage",,,,,,,,,,,,,,
171,CLV-OV-CARD-174,clv,Overview,card,High Impact Opportunities,ACTIVE,CLV Model,"List of top levers to improve CLV (e.g., improve retention)",Growth,MONTHLY,,Strategic levers to raise CLV,,,,,,,,,,,,,,
172,CLV-OV-CARD-175,clv,Overview,card,Actionable Insights,ACTIVE,CLV Model,Text summary of insights from charts 172-174,Growth,MONTHLY,,Target strategies,,,,,,,,,,,,,,
173,CLV-OV-CARD-176,clv,Overview,card,Customer Equity Calculation,ACTIVE,CLV Model,?(CLV) for current customer base,Finance,MONTHLY,,Total discounted value of customer base,,,,,,,,,,,,,,
174,CLV-OV-CARD-177,clv,Overview,card,Customer Equity Formula,ACTIVE,N/A,Display of the formula used,Finance,N/A,,Formula used ?(CLV) × Retention Rate / (1+Discount Rate–Retention Rate),,,,,,,,,,,,,,
175,CLV-P-CHART-178,clv,Prediction,chart/graph,CLV Prediction Over Time,ACTIVE,CLV Model,Line chart of Predicted CLV for a cohort with confidence intervals,Data Science,MONTHLY,,Projected CLV with confidence intervals,,,,,,,,,,,,,,
176,CLV-P-CHART-179,clv,Prediction,chart/graph,Predictive Analytics Forecast,ACTIVE,CLV Model,"Similar to 178, but potentially at a more granular level",Data Science,WEEKLY,,Forecast with confidence bands,,,,,,,,,,,,,,
177,CLV-P-SIM-180,clv,Prediction,simulator,Intervention Simulator,ACTIVE,CLV Model,"Interactive tool to simulate impact of changes to retention, etc.",Growth,AD_HOC,,"Simulated CLV uplift from retention, frequency, value improvements",,,,,,,,,,,,,,
178,CLV-HET-CHART-181,clv,Heterogeneity,chart/graph,Customer Value Heterogeneity,ACTIVE,CLV Model,Histogram of CLV distribution with fitted Gamma curve,Data Science,MONTHLY,,Distribution of CLV with gamma fit,,,,,,,,,,,,,,
179,CLV-HET-CARD-182,clv,Heterogeneity,card,Probabilistic CLV Models,ACTIVE,CLV Model,"Display of model parameters (r, alpha, s, beta for Pareto/NBD)",Data Science,MONTHLY,,Parameters for BG/NBD and Gamma-Gamma models,,,,,,,,,,,,,,
180,CLV-HET-CARD-183,clv,Heterogeneity,card,Model Interpretation,ACTIVE,N/A,Plain English explanation of what the parameters mean,Data Science,N/A,,Explanation of model outputs,,,,,,,,,,,,,,
181,CLV-HET-CHART-184,clv,Heterogeneity,chart/graph,Pareto Analysis,ACTIVE,Stripe.Invoices,Cumulative distribution graph (Lorenz curve),Data Science,MONTHLY,,Value concentration across customers,,,,,,,,,,,,,,
182,CLV-HET-CHART-185,clv,Heterogeneity,chart/graph,Cohort Analysis,ACTIVE,CLV Model,Line chart: Avg CLV and Retention by acquisition cohort,Data Science,MONTHLY,,CLV and retention by acquisition cohort,,,,,,,,,,,,,,
183,CLV-SEG-CHART-186,clv,Segmentation,chart/graph,CLV-Based Customer Segmentation,ACTIVE,CLV Model,"4-quadrant scatter plot (e.g., Recency vs Monetary Value)",Growth,MONTHLY,,Four-quadrant strategy matrix,,,,,,,,,,,,,,
184,CLV-SEG-TABLE-187,clv,Segmentation,table,Customer Value Segments,ACTIVE,CLV Model,Table defining segments and actions,Growth,MONTHLY,,Quartile-based segmentation with actions,,,,,,,,,,,,,,
185,CLV-SEG-CARD-188,clv,Segmentation,card,Key Insights,ACTIVE,CLV Model,Text summary of segmentation analysis,Growth,MONTHLY,,Strategic takeaways,,,,,,,,,,,,,,
186,CLV-AM-CARD-189,clv,Advanced Models,card,Business Recommendations,ACTIVE,CLV Model,Summary of which segments to focus on,Growth,MONTHLY,,Strategic guidance from advanced models,,,,,,,,,,,,,,
187,CLV-AM-CHART-190,clv,Advanced Models,chart/graph,Heterogeneity Analysis,ACTIVE,CLV Model,Visualization of segment contribution to total value,Data Science,MONTHLY,,Customer variance and segments,,,,,,,,,,,,,,
188,CLV-AM-CARD-191,clv,Advanced Models,card,Model Validation,ACTIVE,CLV Model,"Results of statistical tests (KS, AD)",Data Science,MONTHLY,,Statistical validation tests,,,,,,,,,,,,,,
189,CLV-AM-CHART-192,clv,Advanced Models,chart/graph,Pareto/NBD Model Results,ACTIVE,CLV Model,Visualization of model fit and parameters,Data Science,MONTHLY,,Probabilistic CLV parameters & fit,,,,,,,,,,,,,,
190,CLV-AM-CHART-193,clv,Advanced Models,chart/graph,Gamma-Gamma Model,ACTIVE,CLV Model,Visualization of monetary value distribution,Data Science,MONTHLY,,Monetary value modeling,,,,,,,,,,,,,,
191,CLV-AM-CHART-194,clv,Advanced Models,chart/graph,Customer Lifetime Value Prediction,ACTIVE,CLV Model,Forward-looking CLV projection,Data Science,MONTHLY,,Forward CLV projection with confidence intervals,,,,,,,,,,,,,,
192,CLV-AM-CHART-195,clv,Advanced Models,chart/graph,Pattern Recognition,ACTIVE,CLV Model,Anomaly detection chart,Data Science,WEEKLY,,Detection of anomalies in CLV distribution,,,,,,,,,,,,,,
193,CLV-AM-CHART-196,clv,Advanced Models,chart/graph,Seasonality Analysis,ACTIVE,CLV Model,STL decomposition plot,Data Science,MONTHLY,,Recurring patterns in CLV over time,,,,,,,,,,,,,,
194,CLV-DF-CARD-197,clv,Definitions,card,CLV (Customer Lifetime Value),ACTIVE,N/A,Definition only,Data Science,N/A,,Predicted net revenue from future relationship,,,,,,,,,,,,,,
195,CLV-DF-CARD-198,clv,Definitions,card,CAC (Customer Acquisition Cost),ACTIVE,N/A,Definition only,Marketing,N/A,,Marketing + sales cost per acquired customer,,,,,,,,,,,,,,
196,CLV-DF-CARD-199,clv,Definitions,card,Retention Rate,ACTIVE,N/A,Definition only,Data Science,N/A,,Percentage retained over period,,,,,,,,,,,,,,
197,CLV-DF-CARD-200,clv,Definitions,card,Churn Rate,ACTIVE,N/A,Definition only,Data Science,N/A,,Percentage lost over timeframe,,,,,,,,,,,,,,
198,CLV-DF-CARD-201,clv,Definitions,card,LTV:CAC Ratio,ACTIVE,N/A,Definition only,Finance,N/A,,CLV relative to acquisition cost efficiency,,,,,,,,,,,,,,
199,CLV-DF-CARD-202,clv,Definitions,card,Heterogeneity Index,ACTIVE,N/A,Definition only,Data Science,N/A,,"Variance across customers (value, frequency, loyalty)",,,,,,,,,,,,,,
200,CLV-DF-CARD-203,clv,Definitions,card,BG/NBD Model,ACTIVE,N/A,Definition only,Data Science,N/A,,Probabilistic model for purchase frequency & dropout,,,,,,,,,,,,,,
201,CLV-DF-CARD-204,clv,Definitions,card,Gamma-Gamma Model,ACTIVE,N/A,Definition only,Data Science,N/A,,Monetary value estimation model,,,,,,,,,,,,,,
202,CLV-DF-CARD-205,clv,Definitions,card,Customer Equity,ACTIVE,N/A,Definition only,Finance,N/A,,Total discounted CLV of customer base,,,,,,,,,,,,,,
